NO_OF_FRAMES	232
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:56:00	9992.86951533
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
3172	15.85500	7.795	285.095	1562.788	-109.651	441.895	1311.213	-70.114	565.238	1022.090	107.284	516.352	861.719	-117.195	169.138	1318.140	-188.739	45.734	1030.240	-121.186	40.488	810.266	-134.109	461.686	788.347	-220.369	402.925	412.359	-448.027	396.751	114.310	-493.412	354.135	106.038	-368.207	422.471	30.262	-307.029	381.250	30.239	-54.329	115.896	828.895	77.789	159.970	436.340	143.620	148.696	66.763	115.081	196.367	32.874	256.053	127.923	55.999	297.289	172.757	96.013
3173	15.86000	15.296	283.945	1562.677	-102.313	440.583	1310.987	-63.949	564.056	1021.983	113.040	515.118	861.187	-109.958	167.733	1318.104	-182.592	45.119	1030.122	-116.873	40.076	809.285	-127.149	460.605	788.365	-214.190	402.990	412.311	-445.849	397.052	116.504	-491.426	353.938	109.523	-367.788	422.520	30.627	-306.860	381.390	30.233	-47.687	115.019	829.020	84.784	160.491	435.822	143.642	148.861	65.088	114.558	196.175	31.013	256.214	128.501	52.161	298.188	173.662	92.272
3174	15.86500	23.117	282.655	1562.463	-95.269	439.171	1311.060	-57.870	562.658	1022.018	118.910	513.751	860.594	-102.903	166.656	1317.434	-176.098	44.428	1030.452	-111.854	38.882	808.084	-120.512	459.446	788.127	-207.375	402.861	411.174	-443.633	397.503	119.329	-489.333	354.475	113.099	-367.384	422.368	30.930	-306.917	381.423	30.589	-40.643	113.900	829.920	91.223	160.729	435.150	143.547	149.299	62.994	114.335	195.959	29.481	256.258	129.248	48.728	298.729	174.069	88.112
3175	15.87000	30.120	281.414	1562.074	-88.031	437.870	1311.365	-52.231	561.311	1021.991	124.813	512.588	860.340	-95.914	165.369	1317.589	-169.991	43.721	1030.593	-106.941	38.071	808.340	-113.749	458.477	788.339	-200.593	403.055	410.219	-441.297	397.778	122.392	-486.696	354.378	116.617	-366.808	422.550	31.461	-306.722	381.459	30.943	-32.799	112.694	830.264	98.344	161.582	435.148	143.899	150.211	60.541	115.167	195.792	29.886	256.836	129.942	44.810	298.745	175.098	82.895
3176	15.87500	37.125	279.887	1561.844	-80.916	436.366	1311.740	-46.121	560.188	1022.436	130.237	511.408	860.224	-88.727	164.044	1318.132	-163.714	43.154	1030.665	-100.978	36.561	806.891	-106.523	457.000	787.821	-193.981	403.338	409.463	-438.570	398.146	125.222	-483.589	354.718	120.591	-366.526	422.377	32.035	-306.631	381.520	30.861	-26.714	111.941	830.197	104.012	161.461	435.365	145.001	151.632	59.695	117.571	196.194	32.285	259.311	130.066	40.073	301.700	175.168	76.149
3177	15.88000	44.760	278.723	1562.436	-73.216	434.643	1311.821	-40.043	558.799	1022.455	135.668	510.322	859.793	-81.399	162.635	1317.845	-157.190	42.085	1030.479	-95.639	35.582	804.803	-100.337	455.415	786.299	-187.179	403.309	408.602	-436.163	398.816	127.715	-480.543	355.211	124.748	-365.929	422.356	32.487	-306.897	381.358	30.947	-18.818	110.400	831.081	109.472	161.079	433.812	148.400	151.039	61.605	119.821	195.986	33.590	262.447	129.624	37.150	306.847	175.038	73.834
3178	15.88500	52.292	277.313	1563.273	-66.322	433.252	1312.340	-34.469	557.536	1022.123	141.124	509.172	859.148	-74.605	161.122	1317.395	-150.200	41.413	1030.125	-89.208	33.571	804.338	-92.744	453.916	786.014	-179.000	403.700	408.854	-432.997	399.306	130.736	-477.129	355.372	129.279	-365.139	422.337	33.107	-306.930	381.615	31.067	-10.781	108.590	830.941	115.419	161.520	432.155	153.906	149.871	63.744	121.556	195.609	33.847	264.591	129.450	36.689	311.796	174.974	71.973
3179	15.89000	59.412	275.855	1563.152	-59.081	431.982	1312.543	-28.944	556.166	1022.373	145.968	508.356	859.331	-67.470	159.643	1317.427	-144.328	40.583	1030.094	-84.299	33.246	805.741	-85.113	452.745	786.174	-171.446	404.466	408.974	-428.886	399.147	134.237	-473.111	355.642	133.019	-364.515	422.385	33.571	-307.096	381.245	30.530	-2.740	107.412	830.157	122.297	161.982	432.007	159.326	148.673	64.550	123.146	195.410	34.404	266.468	130.216	36.874	316.618	174.416	69.883
3180	15.89500	67.029	274.489	1563.132	-51.963	430.683	1312.841	-23.299	554.910	1022.463	151.198	507.257	859.181	-59.630	157.978	1317.811	-137.711	39.542	1030.350	-79.999	33.377	806.599	-77.925	451.561	785.896	-164.120	404.702	408.156	-425.063	399.548	137.202	-468.525	355.739	138.907	-363.478	422.343	34.499	-307.326	381.177	30.384	4.986	105.423	831.279	128.716	161.672	432.646	161.934	147.798	64.250	123.938	194.677	35.011	267.739	131.113	35.994	319.475	174.211	67.424
3181	15.90000	74.858	273.239	1563.803	-44.681	429.689	1313.635	-18.023	553.726	1022.331	156.715	506.390	858.487	-52.249	156.431	1318.049	-131.091	38.785	1030.563	-74.141	32.089	805.962	-70.132	450.457	785.808	-155.180	405.089	407.950	-420.519	399.670	140.928	-463.649	355.396	142.028	-362.185	422.723	36.320	-307.310	381.270	31.202	11.618	104.304	831.560	134.067	160.613	433.397	163.141	148.016	62.533	124.164	194.358	35.299	268.871	131.786	33.212	319.546	173.976	65.204
