NO_OF_SAMPLES	232
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:56:00	9992.86951533
FIRST_SAMPLE	3162
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3206	16.02500	3.341842	5.474783	5.475628	1.104605	0.418391	-1.896805	-101.349612	160.564086	0.000000	
3207	16.03000	3.455021	5.520924	5.299619	1.122555	0.445880	-1.906158	-110.764857	168.948685	0.000000	
3208	16.03500	3.227264	5.566161	5.210331	1.122845	0.445601	-1.919584	-110.831546	171.556487	0.000000	
3209	16.04000	3.296471	5.474530	5.653245	1.086735	0.418180	-1.905904	-97.806966	152.342640	0.000000	
3210	16.04500	3.182894	5.428609	5.653470	1.095322	0.445208	-1.887482	-101.767952	154.185241	0.000000	
3211	16.05000	3.227121	5.543641	5.299188	1.149823	0.472958	-1.919696	-114.137027	173.933977	0.000000	
3212	16.05500	3.273277	5.406549	5.476580	1.140282	0.481951	-1.896918	-112.429360	167.556494	0.000000	
3213	16.06000	3.227041	5.474882	5.212456	1.122369	0.509000	-1.928912	-122.947703	172.106181	0.000000	
3214	16.06500	3.272853	5.474921	5.211147	1.122436	0.472828	-1.915156	-116.394345	172.162166	0.000000	
3215	16.07000	3.317825	5.407056	5.212114	1.158382	0.527545	-1.933764	-127.221167	179.555599	0.000000	
3216	16.07500	3.136497	5.406195	5.209859	1.122525	0.463622	-1.919600	-113.592947	172.757637	0.000000	
3217	16.08000	3.363882	5.520731	5.033872	1.131179	0.463930	-1.892288	-119.454817	179.611995	0.000000	
3218	16.08500	3.227457	5.429192	5.121323	1.122477	0.454693	-1.915095	-114.532071	175.562262	0.000000	
3219	16.09000	3.204808	5.474991	5.564919	1.140767	0.472820	-1.915131	-108.506626	164.475451	0.000000	
3220	16.09500	3.341350	5.520198	5.212748	1.086069	0.472586	-1.901377	-116.845931	164.779818	0.000000	
3221	16.10000	3.272950	5.498423	5.474616	1.185945	0.455145	-1.901493	-107.570830	175.276161	0.000000	
3222	16.10500	3.273049	5.520160	4.855779	1.095232	0.427359	-1.896622	0.000000	0.000000	0.000000	
3223	16.11000	3.295993	5.360992	5.030942	1.140372	0.427768	-1.896867	-111.788311	182.833697	0.000000	
3224	16.11500	3.204695	5.474884	5.032360	1.140363	0.454757	-1.896703	-116.383107	181.861100	0.000000	
3225	16.12000	3.182022	5.565780	5.034103	1.122007	0.472606	-1.878241	-119.705537	177.418336	0.000000	
3226	16.12500	3.296232	5.474647	5.298562	1.104396	0.427393	-1.892152	-106.080863	165.910080	0.000000	
3227	16.13000	3.272795	5.383518	4.589822	1.121789	0.463856	-1.896796	0.000000	0.000000	0.000000	
3228	16.13500	3.272424	5.565978	4.858374	1.104123	0.490813	-1.915050	0.000000	0.000000	0.000000	
3229	16.14000	3.226999	5.543214	4.857566	1.122095	0.490876	-1.905862	0.000000	0.000000	0.000000	
3230	16.14500	3.341434	5.474619	5.301639	1.094912	0.490745	-1.896870	-118.315052	164.024763	0.000000	
3231	16.15000	3.386468	5.475271	4.856152	1.140126	0.464088	-1.896941	0.000000	0.000000	0.000000	
3232	16.15500	3.273607	5.360329	5.210615	1.094879	0.454475	-1.887624	-112.889854	167.784448	0.000000	
3233	16.16000	3.204535	5.520515	5.033368	1.140291	0.472843	-1.896695	-119.951697	181.442036	0.000000	
3234	16.16500	3.159400	5.496909	5.123162	1.077136	0.463246	-1.905703	-115.620809	166.111914	0.000000	
3235	16.17000	3.340787	5.384014	4.856180	1.140191	0.482211	-1.919916	0.000000	0.000000	0.000000	
3236	16.17500	3.182019	5.497080	4.589404	1.094967	0.427258	-1.887315	0.000000	0.000000	0.000000	
3237	16.18000	3.272941	5.520819	5.565043	1.140932	0.463864	-1.919767	-107.392031	164.167060	0.000000	
3238	16.18500	3.204836	5.543129	5.032142	1.122490	0.427432	-1.891994	-110.959221	177.766454	0.000000	
3239	16.19000	3.273333	5.382865	5.035368	1.067571	0.481455	-1.896756	-122.169305	168.038182	0.000000	
3240	16.19500	3.158995	5.497068	5.125660	1.094704	0.535786	-1.905836	-129.713801	169.456861	0.000000	
3241	16.20000	3.204311	5.406469	4.855661	1.131351	0.472906	-1.924278	0.000000	0.000000	0.000000	
3242	16.20500	3.182292	5.474241	5.034517	1.103643	0.481528	-1.873694	-121.469949	174.494422	0.000000	
3243	16.21000	3.204449	5.497463	4.857247	1.121918	0.490834	-1.896685	0.000000	0.000000	0.000000	
3244	16.21500	3.227409	5.497527	5.033858	1.122141	0.472738	-1.896707	-120.103742	178.004307	0.000000	
3245	16.22000	3.227042	5.497739	4.678767	1.140055	0.472938	-1.896710	0.000000	0.000000	0.000000	
3246	16.22500	3.181835	5.406114	4.589610	1.121795	0.463711	-1.892070	0.000000	0.000000	0.000000	
3247	16.23000	3.227708	5.406207	4.855481	1.130731	0.463755	-1.873814	0.000000	0.000000	0.000000	
3248	16.23500	3.273196	5.474585	5.300735	1.104061	0.481672	-1.896784	-116.100774	165.779102	0.000000	
3249	16.24000	3.227248	5.497483	4.857344	1.121847	0.490854	-1.892126	0.000000	0.000000	0.000000	
3250	16.24500	3.295687	5.497633	5.123526	1.121966	0.490906	-1.892241	-122.091652	174.844186	0.000000	
3251	16.25000	3.182373	5.428532	4.945122	1.094673	0.463396	-1.878265	0.000000	0.000000	0.000000	
3252	16.25500	3.203923	5.543563	4.590509	1.158114	0.491162	-1.901288	0.000000	0.000000	0.000000	
3253	16.26000	3.226917	5.566143	4.858328	1.139848	0.518126	-1.892150	0.000000	0.000000	0.000000	
3254	16.26500	3.296102	5.429248	5.478357	1.139725	0.518114	-1.874035	-119.163219	167.232077	0.000000	
3255	16.27000	3.295720	5.474685	5.212540	1.104059	0.490792	-1.905997	-119.987642	168.592392	0.000000	
3256	16.27500	3.204823	5.497006	5.035597	1.085735	0.490507	-1.892042	-123.408861	170.717176	0.000000	
3257	16.28000	3.136493	5.497056	4.855878	1.095181	0.445288	-1.901070	0.000000	0.000000	0.000000	
3258	16.28500	3.204984	5.474075	4.856951	1.076761	0.454260	-1.887387	0.000000	0.000000	0.000000	
3259	16.29000	3.227403	5.474861	4.944583	1.140046	0.472878	-1.887571	0.000000	0.000000	0.000000	
3260	16.29500	3.181861	5.474550	5.035082	1.121795	0.508868	-1.892122	-126.882893	178.077558	0.000000	
3261	16.30000	3.090435	5.405981	4.413086	1.121716	0.490798	-1.905737	0.000000	0.000000	0.000000	
3262	16.30500	3.295609	5.474918	5.033594	1.122274	0.463814	-1.905980	-118.887419	178.222414	0.000000	
3263	16.31000	3.272768	5.406453	4.944847	1.122195	0.472891	-1.915180	0.000000	0.000000	0.000000	
3264	16.31500	3.295223	5.475021	4.591028	1.139751	0.491141	-1.892244	0.000000	0.000000	0.000000	
3265	16.32000	3.318363	5.543161	4.945968	1.104078	0.463672	-1.896741	0.000000	0.000000	0.000000	
3266	16.32500	3.204488	5.406574	4.855695	1.157947	0.491136	-1.892230	0.000000	0.000000	0.000000	
3267	16.33000	3.226752	5.474897	4.681280	1.139612	0.536304	-1.901401	0.000000	0.000000	0.000000	
3268	16.33500	3.182513	5.473995	4.856272	1.085583	0.445190	-1.864416	0.000000	0.000000	0.000000	
3269	16.34000	3.181798	5.520221	4.856540	1.122032	0.472684	-1.892025	0.000000	0.000000	0.000000	
3270	16.34500	3.227321	5.497321	5.034611	1.095225	0.472572	-1.915011	-120.052002	172.632974	0.000000	
3271	16.35000	3.182097	5.474092	5.036151	1.085516	0.508570	-1.887463	-126.798595	170.839522	0.000000	
3272	16.35500	3.090291	5.474581	4.235306	1.139705	0.481863	-1.891928	0.000000	0.000000	0.000000	
3273	16.36000	3.204142	5.565924	4.948148	1.121785	0.536060	-1.901295	0.000000	0.000000	0.000000	
3274	16.36500	3.159475	5.496586	5.037118	1.067256	0.517414	-1.878216	-128.347619	167.000276	0.000000	
3275	16.37000	3.272963	5.474977	5.211425	1.140101	0.491010	-1.892269	-119.877904	175.542159	0.000000	
3276	16.37500	3.205182	5.383151	5.033969	1.121425	0.490755	-1.864657	-123.500861	178.780848	0.000000	
3277	16.38000	3.204484	5.496953	4.682180	1.085276	0.517701	-1.887458	0.000000	0.000000	0.000000	
3278	16.38500	3.272375	5.406604	4.412495	1.139888	0.473095	-1.905989	0.000000	0.000000	0.000000	
3279	16.39000	3.227056	5.543251	4.946719	1.130940	0.509009	-1.896733	0.000000	0.000000	0.000000	
3280	16.39500	3.136261	5.428835	4.857366	1.121715	0.508859	-1.896667	0.000000	0.000000	0.000000	
3281	16.40000	3.272337	5.542862	4.593110	1.076844	0.490660	-1.919580	0.000000	0.000000	0.000000	
3282	16.40500	3.205351	5.359974	4.678582	1.094182	0.454380	-1.855361	0.000000	0.000000	0.000000	
3283	16.41000	3.090825	5.428690	4.679174	1.121647	0.490701	-1.887388	0.000000	0.000000	0.000000	
3284	16.41500	3.226384	5.520735	4.591695	1.140200	0.509229	-1.928859	0.000000	0.000000	0.000000	
3285	16.42000	3.272181	5.566275	4.592192	1.139813	0.509193	-1.896763	0.000000	0.000000	0.000000	
3286	16.42500	3.272458	5.611854	4.680880	1.148609	0.509165	-1.869221	0.000000	0.000000	0.000000	
3287	16.43000	3.181745	5.474898	4.855494	1.149132	0.472913	-1.892109	0.000000	0.000000	0.000000	
3288	16.43500	3.181226	5.634171	4.414476	1.103961	0.472602	-1.901049	0.000000	0.000000	0.000000	
3289	16.44000	3.090380	5.519865	4.592283	1.103727	0.508692	-1.905663	0.000000	0.000000	0.000000	
3290	16.44500	3.181151	5.565993	4.591576	1.122122	0.490873	-1.914940	0.000000	0.000000	0.000000	
3291	16.45000	3.181355	5.429295	4.500516	1.140196	0.463922	-1.915026	0.000000	0.000000	0.000000	
3292	16.45500	3.317768	5.475184	4.947518	1.139907	0.536425	-1.915313	0.000000	0.000000	0.000000	
3293	16.46000	3.181692	5.429269	4.855989	1.148995	0.491038	-1.896755	0.000000	0.000000	0.000000	
3294	16.46500	3.272693	5.474358	4.592519	1.085495	0.490691	-1.896699	0.000000	0.000000	0.000000	
3295	16.47000	3.318352	5.406402	5.035594	1.121641	0.518140	-1.896953	-129.812070	178.578326	0.000000	
3296	16.47500	3.204520	5.383253	4.857106	1.103898	0.490773	-1.915088	0.000000	0.000000	0.000000	
3297	16.48000	3.272141	5.474323	4.417732	1.076184	0.544994	-1.915096	0.000000	0.000000	0.000000	
3298	16.48500	3.272749	5.497611	4.946148	1.121939	0.490915	-1.896784	0.000000	0.000000	0.000000	
3299	16.49000	3.227211	5.406143	4.680705	1.121358	0.518046	-1.887622	0.000000	0.000000	0.000000	
3300	16.49500	3.136453	5.542822	4.856911	1.121767	0.481616	-1.873604	0.000000	0.000000	0.000000	
3301	16.50000	3.204128	5.406365	4.502787	1.139502	0.518210	-1.896789	0.000000	0.000000	0.000000	
3302	16.50500	3.318494	5.474532	5.035118	1.085979	0.472609	-1.905953	-120.782742	170.963169	0.000000	
3303	16.51000	3.317948	5.474366	4.683847	1.076189	0.544991	-1.906002	0.000000	0.000000	0.000000	
3304	16.51500	3.226822	5.474702	4.503393	1.121609	0.509040	-1.901314	0.000000	0.000000	0.000000	
3305	16.52000	3.203861	5.520439	4.413363	1.122150	0.472859	-1.919551	0.000000	0.000000	0.000000	
3306	16.52500	3.226730	5.475175	4.589307	1.149406	0.464041	-1.919669	0.000000	0.000000	0.000000	
