NO_OF_FRAMES	691
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:03:54	6867.40290917
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
69	0.34000	329.918	275.810	1618.834	274.705	414.643	1348.478	230.468	485.777	1038.581	289.744	544.323	816.717	283.946	132.439	1349.916	247.049	44.965	1038.201	331.185	-11.080	837.456	301.011	441.532	816.928	292.558	401.247	431.877	207.994	420.427	69.353	172.202	368.508	28.558	313.645	457.645	27.587	377.421	426.110	28.749	299.945	83.774	817.883	292.232	121.573	426.294	210.326	97.552	67.540	166.671	139.063	33.821	317.517	63.880	26.186	384.590	111.874	27.010
70	0.34500	330.016	275.846	1618.874	274.809	414.546	1348.571	230.509	485.742	1038.617	289.833	544.339	816.835	283.979	132.422	1349.900	247.076	44.879	1038.312	331.097	-11.078	837.499	301.069	441.524	816.883	292.479	401.176	431.824	208.025	420.394	69.409	172.101	368.372	28.760	313.594	457.581	27.574	377.415	426.298	28.601	299.934	83.751	818.039	292.243	121.685	426.216	210.309	97.543	67.511	166.612	139.025	33.836	317.582	63.925	26.044	384.595	111.877	27.120
71	0.35000	329.979	275.763	1618.828	274.687	414.655	1348.544	230.557	485.762	1038.565	289.684	544.403	816.876	284.069	132.435	1349.894	247.189	44.801	1038.250	331.150	-11.044	837.429	300.987	441.445	816.915	292.455	401.230	431.957	207.882	420.374	69.496	172.048	368.502	28.654	313.578	457.593	27.577	377.372	426.343	28.736	300.030	83.828	817.894	292.224	121.649	426.288	210.355	97.548	67.459	166.627	139.065	33.834	317.588	63.892	26.096	384.550	111.701	27.199
72	0.35500	330.060	275.727	1618.804	274.855	414.575	1348.473	230.612	485.775	1038.666	289.874	544.360	816.665	284.049	132.444	1349.890	247.133	44.848	1038.311	331.193	-11.026	837.347	301.067	441.456	816.816	292.534	401.123	431.676	208.004	420.369	69.423	172.052	368.273	28.693	313.605	457.611	27.552	377.380	426.318	28.706	300.011	83.805	817.898	292.267	121.607	426.128	210.366	97.533	67.415	166.641	139.067	33.842	317.631	63.917	26.037	384.395	111.815	27.153
73	0.36000	330.126	275.714	1618.818	274.842	414.616	1348.537	230.638	485.760	1038.567	289.791	544.432	816.843	284.098	132.420	1349.913	247.200	44.756	1038.328	331.176	-11.052	837.453	301.018	441.489	816.789	292.654	401.196	431.751	207.942	420.330	69.338	172.137	368.387	28.714	313.630	457.650	27.326	377.333	426.259	28.655	300.022	83.740	817.962	292.229	121.579	426.196	210.359	97.472	67.459	166.624	139.020	33.866	317.551	63.931	26.059	384.576	111.947	27.059
74	0.36500	330.264	275.784	1618.800	274.897	414.619	1348.403	230.636	485.772	1038.579	289.955	544.360	816.760	284.117	132.393	1349.973	247.266	44.743	1038.402	331.103	-11.050	837.399	301.024	441.447	816.806	292.588	401.262	431.862	208.103	420.426	69.280	172.113	368.406	28.605	313.573	457.666	27.580	377.431	426.305	28.729	300.078	83.815	817.926	292.185	121.546	426.207	210.229	97.495	67.530	166.592	139.016	33.855	317.550	63.921	26.112	384.697	111.882	27.026
75	0.37000	330.232	275.746	1618.750	274.865	414.584	1348.479	230.646	485.824	1038.552	289.908	544.371	816.826	284.181	132.422	1349.864	247.270	44.778	1038.412	331.141	-11.082	837.440	301.041	441.475	816.849	292.607	401.156	431.753	207.982	420.447	69.382	172.057	368.358	28.654	313.570	457.685	27.551	377.473	426.260	28.642	300.015	83.785	817.967	292.506	121.736	426.192	210.249	97.510	67.573	166.629	139.052	33.824	317.503	63.896	26.112	384.562	111.872	26.988
76	0.37500	330.407	275.773	1618.748	274.973	414.642	1348.483	230.718	485.813	1038.580	289.902	544.453	816.855	284.211	132.367	1349.878	247.265	44.713	1038.456	331.176	-11.029	837.441	301.103	441.464	816.862	292.491	401.099	431.735	208.147	420.493	69.150	172.096	368.375	28.624	313.644	457.612	27.515	377.404	426.180	28.688	299.991	83.788	818.023	292.289	121.545	426.240	210.311	97.526	67.517	166.506	139.028	33.875	317.639	63.938	26.078	384.561	111.836	26.939
77	0.38000	330.266	275.618	1618.749	274.896	414.587	1348.420	230.694	485.779	1038.540	290.037	544.333	816.773	284.270	132.407	1349.911	247.282	44.692	1038.516	331.170	-11.046	837.452	301.051	441.483	816.810	292.503	401.195	431.822	207.996	420.370	69.372	172.108	368.434	28.584	313.608	457.618	27.553	377.369	426.262	28.721	300.115	83.762	817.911	292.376	121.596	426.254	210.283	97.483	67.552	166.607	138.998	33.889	317.582	63.951	26.136	384.519	111.660	27.073
78	0.38500	330.439	275.765	1618.674	274.994	414.593	1348.438	230.776	485.788	1038.546	290.086	544.334	816.778	284.272	132.362	1349.931	247.384	44.692	1038.472	331.193	-11.068	837.411	301.206	441.446	816.830	292.539	401.289	431.883	208.053	420.357	69.209	172.140	368.395	28.643	313.585	457.669	27.553	377.441	426.289	28.745	300.141	83.807	817.850	292.353	121.702	426.182	210.239	97.493	67.548	166.617	139.055	33.949	317.508	63.920	26.177	384.479	111.803	27.085
