X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.952071	8.161126e-06	6.523716e-05	1.215221e-05	5.095170e-06	
21.953072	8.172380e-06	6.470105e-05	1.220207e-05	5.044543e-06	
21.954072	8.182475e-06	6.418142e-05	1.224744e-05	4.993926e-06	
21.955073	8.191438e-06	6.367916e-05	1.228819e-05	4.943619e-06	
21.956074	8.199295e-06	6.319514e-05	1.232417e-05	4.893925e-06	
21.957075	8.206073e-06	6.273021e-05	1.235524e-05	4.845145e-06	
21.958076	8.211798e-06	6.228526e-05	1.238126e-05	4.797580e-06	
21.959077	8.216498e-06	6.186116e-05	1.240208e-05	4.751533e-06	
21.960078	8.220198e-06	6.145878e-05	1.241757e-05	4.707303e-06	
21.961079	8.222926e-06	6.107898e-05	1.242757e-05	4.665193e-06	
21.962079	8.224709e-06	6.072265e-05	1.243195e-05	4.625505e-06	
21.963080	8.225571e-06	6.039064e-05	1.243057e-05	4.588539e-06	
21.964081	8.225541e-06	6.008384e-05	1.242328e-05	4.554597e-06	
21.965082	8.224645e-06	5.980311e-05	1.240993e-05	4.523982e-06	
21.966083	8.222910e-06	5.954933e-05	1.239039e-05	4.496993e-06	
21.967084	8.220362e-06	5.932336e-05	1.236452e-05	4.473933e-06	
21.968085	8.217027e-06	5.912607e-05	1.233216e-05	4.455103e-06	
21.969085	8.212933e-06	5.895835e-05	1.229319e-05	4.440804e-06	
21.970086	8.208106e-06	5.882105e-05	1.224745e-05	4.431339e-06	
21.971087	8.202572e-06	5.871505e-05	1.219480e-05	4.427008e-06	
21.972088	8.196359e-06	5.864122e-05	1.213510e-05	4.428113e-06	
21.973089	8.189493e-06	5.860044e-05	1.206821e-05	4.434955e-06	
21.974090	8.182000e-06	5.859356e-05	1.199399e-05	4.447837e-06	
21.975091	8.173908e-06	5.862140e-05	1.191230e-05	4.467040e-06	
21.976091	8.165270e-06	5.868354e-05	1.182331e-05	4.492556e-06	
21.977092	8.156155e-06	5.877863e-05	1.172736e-05	4.524139e-06	
21.978093	8.146635e-06	5.890528e-05	1.162484e-05	4.561541e-06	
21.979094	8.136780e-06	5.906210e-05	1.151611e-05	4.604511e-06	
21.980095	8.126662e-06	5.924771e-05	1.140155e-05	4.652797e-06	
21.981096	8.116350e-06	5.946072e-05	1.128152e-05	4.706150e-06	
21.982097	8.105917e-06	5.969974e-05	1.115641e-05	4.764319e-06	
21.983097	8.095432e-06	5.996339e-05	1.102658e-05	4.827053e-06	
21.984098	8.084968e-06	6.025029e-05	1.089240e-05	4.894103e-06	
21.985099	8.074594e-06	6.055903e-05	1.075424e-05	4.965218e-06	
21.986100	8.064382e-06	6.088825e-05	1.061248e-05	5.040147e-06	
21.987101	8.054403e-06	6.123655e-05	1.046749e-05	5.118640e-06	
21.988102	8.044727e-06	6.160254e-05	1.031964e-05	5.200447e-06	
21.989103	8.035425e-06	6.198484e-05	1.016930e-05	5.285316e-06	
21.990104	8.026569e-06	6.238206e-05	1.001684e-05	5.372999e-06	
21.991104	8.018229e-06	6.279282e-05	9.862627e-06	5.463243e-06	
21.992105	8.010476e-06	6.321572e-05	9.707044e-06	5.555799e-06	
21.993106	8.003382e-06	6.364939e-05	9.550457e-06	5.650416e-06	
21.994107	7.997016e-06	6.409243e-05	9.393238e-06	5.746844e-06	
21.995108	7.991450e-06	6.454347e-05	9.235759e-06	5.844833e-06	
21.996109	7.986754e-06	6.500110e-05	9.078390e-06	5.944131e-06	
21.997110	7.983001e-06	6.546395e-05	8.921504e-06	6.044489e-06	
21.998110	7.980260e-06	6.593064e-05	8.765472e-06	6.145656e-06	
21.999111	7.978602e-06	6.639976e-05	8.610665e-06	6.247382e-06	
22.000112	7.978099e-06	6.686994e-05	8.457455e-06	6.349416e-06	
22.001113	7.978821e-06	6.733979e-05	8.306214e-06	6.451507e-06	
22.002114	7.980839e-06	6.780792e-05	8.157312e-06	6.553406e-06	
22.003115	7.984224e-06	6.827295e-05	8.011122e-06	6.654862e-06	
22.004116	7.989048e-06	6.873349e-05	7.868015e-06	6.755624e-06	
22.005116	7.995380e-06	6.918816e-05	7.728363e-06	6.855442e-06	
22.006117	8.003292e-06	6.963556e-05	7.592537e-06	6.954066e-06	
22.007118	8.012855e-06	7.007431e-05	7.460908e-06	7.051244e-06	
22.008119	8.024139e-06	7.050303e-05	7.333848e-06	7.146728e-06	
22.009120	8.037216e-06	7.092032e-05	7.211729e-06	7.240265e-06	
22.010121	8.052156e-06	7.132481e-05	7.094922e-06	7.331606e-06	
22.011122	8.069031e-06	7.171510e-05	6.983798e-06	7.420501e-06	
22.012123	8.087911e-06	7.208980e-05	6.878730e-06	7.506698e-06	
22.013123	8.108867e-06	7.244754e-05	6.780088e-06	7.589948e-06	
22.014124	8.131970e-06	7.278693e-05	6.688245e-06	7.670000e-06	
22.015125	8.157291e-06	7.310657e-05	6.603571e-06	7.746603e-06	
22.016126	8.184901e-06	7.340508e-05	6.526438e-06	7.819508e-06	
22.017127	8.214871e-06	7.368108e-05	6.457218e-06	7.888463e-06	
22.018128	8.247271e-06	7.393318e-05	6.396283e-06	7.953218e-06	
22.019129	8.282173e-06	7.415999e-05	6.344003e-06	8.013523e-06	
22.020129	8.319647e-06	7.436012e-05	6.300750e-06	8.069128e-06	
22.021130	8.359765e-06	7.453220e-05	6.266896e-06	8.119781e-06	
22.022131	8.402597e-06	7.467483e-05	6.242812e-06	8.165233e-06	
22.023132	8.448215e-06	7.478662e-05	6.228870e-06	8.205233e-06	
22.024133	8.496688e-06	7.486619e-05	6.225442e-06	8.239530e-06	
22.025134	8.548078e-06	7.491226e-05	6.232864e-06	8.267887e-06	
22.026135	8.602309e-06	7.492483e-05	6.251024e-06	8.290244e-06	
22.027135	8.659204e-06	7.490489e-05	6.279487e-06	8.306666e-06	
22.028136	8.718589e-06	7.485341e-05	6.317808e-06	8.317220e-06	
22.029137	8.780285e-06	7.477136e-05	6.365546e-06	8.321974e-06	
22.030138	8.844116e-06	7.465974e-05	6.422258e-06	8.320996e-06	
22.031139	8.909905e-06	7.451953e-05	6.487501e-06	8.314354e-06	
22.032140	8.977476e-06	7.435170e-05	6.560832e-06	8.302115e-06	
22.033141	9.046652e-06	7.415725e-05	6.641810e-06	8.284348e-06	
22.034142	9.117255e-06	7.393714e-05	6.729990e-06	8.261121e-06	
22.035142	9.189109e-06	7.369237e-05	6.824931e-06	8.232500e-06	
22.036143	9.262037e-06	7.342392e-05	6.926190e-06	8.198555e-06	
22.037144	9.335863e-06	7.313276e-05	7.033323e-06	8.159352e-06	
22.038145	9.410409e-06	7.281989e-05	7.145889e-06	8.114960e-06	
22.039146	9.485499e-06	7.248628e-05	7.263445e-06	8.065446e-06	
22.040147	9.560956e-06	7.213291e-05	7.385547e-06	8.010879e-06	
22.041148	9.636603e-06	7.176077e-05	7.511754e-06	7.951326e-06	
22.042148	9.712263e-06	7.137084e-05	7.641622e-06	7.886855e-06	
22.043149	9.787760e-06	7.096410e-05	7.774710e-06	7.817533e-06	
22.044150	9.862917e-06	7.054154e-05	7.910573e-06	7.743429e-06	
22.045151	9.937556e-06	7.010413e-05	8.048770e-06	7.664611e-06	
22.046152	1.001150e-05	6.965285e-05	8.188858e-06	7.581145e-06	
22.047153	1.008458e-05	6.918870e-05	8.330394e-06	7.493101e-06	
22.048154	1.015660e-05	6.871265e-05	8.472935e-06	7.400546e-06	
