X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
15.938074	1.190012e-05	-5.793060e-06	5.199387e-06	-2.319035e-06	
15.939075	2.389479e-05	-1.234447e-05	9.373106e-08	-1.344259e-06	
15.940076	1.215973e-05	-1.259023e-05	-3.459529e-06	1.776859e-07	
15.941077	-1.303890e-05	-1.428756e-05	-1.942347e-06	4.706234e-06	
15.942078	-1.948650e-05	-1.646886e-05	4.478987e-06	6.520670e-06	
15.943079	-1.517036e-06	-1.335902e-05	1.041434e-05	6.624349e-06	
15.944080	-9.444366e-06	-8.808239e-06	8.940322e-06	4.838380e-06	
15.945081	-2.583728e-05	-4.099163e-06	5.094256e-06	3.653395e-06	
15.946082	-1.263120e-05	2.758746e-06	3.199445e-06	4.984116e-06	
15.947083	-2.697401e-06	2.074194e-06	1.354236e-06	1.766901e-06	
15.948084	1.244409e-05	-6.682327e-06	7.577248e-07	-2.227537e-06	
15.949085	1.579227e-06	-6.918353e-06	-9.673352e-07	-4.024919e-06	
15.950086	-4.320746e-05	-3.693747e-06	-2.008546e-06	-2.894238e-06	
15.951087	-4.469697e-06	-8.909008e-06	-1.320555e-06	1.072161e-06	
15.952088	5.384518e-05	-8.128583e-06	-2.356373e-06	5.097027e-07	
15.953089	8.504058e-06	-4.279272e-06	-1.428677e-07	-1.193693e-06	
15.954090	-1.000118e-05	-9.796168e-06	1.093550e-06	-1.085756e-06	
15.955091	8.532002e-06	-1.414240e-05	-2.875552e-06	1.904367e-06	
15.956092	-3.879245e-05	-1.233188e-05	-4.193259e-06	4.616743e-06	
15.957092	-2.039768e-05	1.474407e-06	-6.688973e-06	1.004034e-07	
15.958093	3.636161e-05	2.386381e-05	-1.059137e-05	-2.666790e-06	
15.959094	-6.411321e-06	2.840142e-05	-1.002269e-05	-1.371635e-06	
15.960095	-4.014171e-05	1.859430e-05	-9.838741e-06	4.918333e-07	
15.961096	-3.114093e-05	1.331695e-05	-7.054331e-06	1.646563e-06	
15.962097	-2.233381e-05	9.322969e-06	-2.814148e-06	-2.335351e-06	
15.963098	-4.039633e-07	7.308086e-06	-8.112630e-07	-3.596689e-06	
15.964099	1.597748e-05	4.051422e-06	7.285707e-06	-1.160424e-06	
15.965100	3.357345e-05	5.592602e-07	1.451194e-05	-7.976573e-07	
15.966101	5.912108e-05	4.500512e-06	1.558045e-05	-5.563490e-07	
15.967102	6.366541e-05	2.258146e-06	1.399177e-05	-1.980014e-06	
15.968103	3.603976e-05	-1.286269e-06	5.575776e-06	-2.741041e-06	
15.969104	5.395677e-05	6.159637e-06	3.031763e-09	-2.040391e-06	
15.970105	8.189117e-05	8.475897e-06	1.085670e-06	-7.760507e-07	
15.971106	-1.097837e-05	4.607105e-06	-1.364055e-06	5.751316e-07	
15.972107	-8.077291e-05	6.898067e-06	-1.311891e-06	-1.703267e-06	
15.973108	-2.555088e-05	1.429725e-05	1.310687e-06	-2.274246e-06	
15.974109	1.530718e-05	2.165439e-05	-7.444386e-07	-2.264506e-06	
15.975110	2.016210e-06	2.379051e-05	-4.178366e-07	-5.600724e-06	
15.976111	-3.734015e-05	2.125107e-05	3.054537e-07	-4.363628e-06	
15.977112	-6.319602e-05	1.591985e-05	-1.920242e-06	2.331640e-06	
15.978112	-4.552634e-05	6.934527e-06	-3.082936e-06	3.540560e-06	
15.979113	-3.981285e-05	8.609780e-07	-4.423690e-06	-2.192492e-06	
15.980114	-4.005061e-05	-4.450473e-06	-2.844971e-06	-1.117435e-06	
15.981115	-6.655093e-06	-1.267915e-05	-1.228670e-06	3.545505e-06	
15.982116	1.293059e-05	-1.242940e-05	-1.897601e-06	3.354147e-06	
15.983117	3.218710e-06	-9.452683e-06	-1.148093e-06	1.617824e-06	
15.984118	2.584510e-06	-1.201931e-05	-1.525405e-06	-6.813524e-07	
15.985119	1.210512e-05	-1.261794e-05	2.451461e-07	2.477249e-06	
15.986120	1.758373e-05	-1.346032e-05	2.488693e-06	5.111049e-06	
15.987121	1.743918e-05	-1.544350e-05	2.558907e-06	1.993449e-06	
15.988122	1.440803e-05	-1.741815e-05	4.536749e-06	8.552910e-07	
