X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.948067	-2.000326e-05	6.252843e-05	-2.853768e-06	-5.399164e-06	
21.949068	-1.973606e-06	5.583701e-06	-1.083146e-05	-5.919572e-06	
21.950069	1.183689e-05	-2.460285e-05	-1.325210e-05	-8.537669e-06	
21.951070	1.586831e-05	8.173001e-06	-1.849710e-05	-9.547270e-06	
21.952071	1.465899e-05	7.322411e-06	-1.677367e-05	-9.977241e-06	
21.953072	1.757858e-05	-2.402406e-05	-9.196675e-06	-1.118765e-05	
21.954072	1.802351e-05	-3.939963e-05	-2.219826e-06	-8.180509e-06	
21.955073	1.427750e-05	-3.795316e-05	8.700810e-06	-5.590596e-06	
21.956074	9.078297e-06	-1.212875e-05	1.413768e-05	-8.044382e-06	
21.957075	-2.789401e-06	2.628960e-05	1.134781e-05	-5.453717e-06	
21.958076	-1.235777e-05	6.062162e-05	1.197664e-05	-4.160753e-06	
21.959077	-1.535338e-05	5.737499e-05	1.462294e-05	-7.082429e-06	
21.960078	-1.389804e-05	-1.470586e-05	1.072555e-05	-2.244198e-06	
21.961079	-8.643051e-06	-7.645658e-05	5.212789e-06	1.288231e-06	
21.962079	-4.207066e-06	-1.045837e-04	4.035773e-06	1.163758e-06	
21.963080	-2.507094e-08	-1.173292e-04	5.666224e-08	1.987844e-06	
21.964081	-7.556166e-07	-6.088032e-05	-2.942475e-06	-5.287983e-07	
21.965082	-7.124323e-06	-1.837120e-05	-1.390913e-06	1.985613e-07	
21.966083	-6.705139e-06	-6.667221e-06	-2.045300e-06	9.188423e-07	
21.967084	5.414717e-07	4.262017e-05	-1.832921e-07	-2.468570e-07	
21.968085	3.540356e-06	3.617463e-05	1.399399e-06	3.683318e-06	
21.969085	3.463115e-06	9.050924e-06	-1.447081e-06	6.228398e-06	
21.970086	3.211500e-06	9.727221e-06	-1.804473e-06	4.495960e-06	
21.971087	-1.563938e-06	1.405951e-06	-1.522042e-06	-1.858554e-07	
21.972088	-6.195245e-06	5.162285e-05	-1.983454e-06	-7.097353e-07	
21.973089	-4.659117e-06	9.009165e-05	-3.007617e-06	4.151742e-06	
21.974090	1.179906e-06	6.991918e-05	-6.815874e-06	3.609577e-06	
21.975091	8.358094e-06	7.719149e-05	-1.406451e-05	3.756366e-06	
21.976091	1.236659e-05	6.611871e-05	-2.529309e-05	6.664927e-06	
21.977092	1.031076e-05	2.844788e-05	-3.157943e-05	6.271354e-06	
21.978093	7.351748e-06	2.742599e-05	-2.495554e-05	4.307374e-06	
21.979094	5.334029e-06	4.251755e-05	-1.389166e-05	2.301767e-06	
21.980095	-4.039232e-07	3.643186e-05	-5.410003e-06	3.138053e-06	
21.981096	-3.231475e-06	1.053132e-05	6.079219e-06	2.014991e-06	
21.982097	-4.160495e-07	-3.284178e-06	1.707014e-05	1.358985e-07	
21.983097	-3.374122e-07	1.176797e-06	2.095835e-05	1.260669e-06	
21.984098	-2.766064e-06	2.426585e-06	2.107078e-05	-1.142251e-06	
21.985099	-6.320055e-06	1.195035e-05	1.756292e-05	-1.432921e-06	
21.986100	-1.020838e-05	3.455724e-05	1.624501e-05	1.103479e-06	
21.987101	-8.688831e-06	3.476772e-05	1.397484e-05	1.288888e-06	
21.988102	-2.998696e-06	1.004429e-05	3.590023e-06	1.473846e-06	
21.989103	-2.348268e-06	4.836805e-06	-1.754874e-06	-1.700165e-06	
21.990104	-3.578481e-06	1.652662e-05	-2.239670e-06	-3.226550e-06	
21.991104	-7.751545e-07	1.412337e-05	1.552515e-06	-2.519014e-07	
21.992105	1.465225e-06	3.571723e-06	1.204439e-05	-1.138002e-06	
21.993106	4.361959e-06	-5.388067e-05	1.302362e-05	-1.862905e-06	
21.994107	2.016990e-06	-1.473533e-04	9.392366e-06	-5.547276e-07	
21.995108	-5.073713e-06	-1.595221e-04	8.922027e-06	-1.766745e-06	
21.996109	-4.880271e-06	-1.180119e-04	4.627212e-06	-3.329271e-06	
21.997110	-6.949623e-06	-1.081137e-04	4.148221e-06	-4.412136e-06	
21.998110	-1.020714e-05	-9.315716e-05	6.341642e-06	-3.875322e-06	
21.999111	-5.588760e-06	-5.486967e-05	2.125994e-07	-3.134406e-06	
22.000112	1.803677e-07	-3.366530e-05	-8.523923e-06	-1.303152e-06	
22.001113	7.946406e-06	-4.814962e-05	-9.902555e-06	1.583107e-06	
22.002114	1.077831e-05	-5.352666e-05	-6.726522e-06	2.667399e-07	
22.003115	6.424051e-06	-3.090221e-05	-6.864648e-06	4.166553e-06	
22.004116	6.205940e-06	1.639854e-05	-1.070592e-05	3.354246e-06	
22.005116	5.297897e-06	9.891937e-05	-1.561719e-05	-8.547661e-06	
22.006117	5.332833e-06	1.275085e-04	-1.650121e-05	-2.544077e-06	
22.007118	6.777278e-06	1.057563e-04	-9.672646e-06	7.591608e-07	
22.008119	-3.299165e-07	1.053086e-04	-6.170021e-06	-1.290389e-05	
22.009120	-4.902736e-06	5.572695e-05	-1.013007e-05	-1.140422e-05	
22.010121	-2.466134e-06	5.360837e-06	-7.563025e-06	-1.022601e-05	
22.011122	-4.049880e-06	4.517993e-05	-3.620280e-06	-9.764577e-06	
22.012123	-4.194362e-06	4.436259e-05	-6.948553e-06	-2.689670e-06	
22.013123	3.132092e-06	-5.501504e-05	-1.682309e-06	-1.735325e-06	
22.014124	6.702044e-06	-6.525901e-05	7.710241e-06	1.849442e-05	
22.015125	1.261635e-06	1.865819e-05	5.721219e-06	1.551674e-05	
22.016126	-3.367523e-06	2.998562e-05	3.408070e-06	-1.334221e-05	
22.017127	-1.314196e-06	5.249780e-06	6.312310e-06	1.394143e-05	
22.018128	5.327929e-06	-4.800380e-06	7.966590e-06	3.201983e-05	
22.019129	7.468478e-06	1.239202e-05	8.387676e-06	4.427680e-06	
22.020129	1.360255e-06	6.988847e-05	7.818695e-06	4.677611e-07	
22.021130	-1.902538e-06	1.296051e-04	6.749955e-06	3.122667e-06	
22.022131	9.653398e-07	1.375072e-04	4.894857e-06	-6.180917e-06	
22.023132	2.839279e-06	6.109360e-05	1.451751e-07	-1.292460e-05	
22.024133	1.113846e-06	1.608443e-05	-3.290516e-06	-9.359127e-06	
22.025134	1.356725e-06	1.289708e-05	-1.877173e-06	6.493161e-06	
22.026135	4.887030e-06	-5.078794e-05	6.307786e-07	1.129602e-05	
22.027135	6.685879e-07	-1.158277e-04	1.577969e-06	6.909971e-06	
22.028136	-6.967695e-06	-1.062353e-04	1.241018e-06	8.670716e-06	
22.029137	-7.909562e-06	-5.054938e-05	1.828918e-06	5.923950e-06	
22.030138	-1.195368e-05	-1.161261e-05	4.100676e-06	-1.000453e-07	
22.031139	-1.523625e-05	4.312821e-06	3.369536e-06	-8.143368e-07	
22.032140	-8.220337e-06	-2.732762e-05	-2.607640e-07	-1.291177e-06	
22.033141	-3.114040e-06	-4.702272e-05	-2.670586e-06	-3.434293e-06	
22.034142	-6.934687e-07	-1.762450e-05	-6.395360e-06	-3.865584e-06	
22.035142	3.225409e-06	-5.193807e-05	-7.685994e-06	-1.846425e-06	
22.036143	1.552796e-06	-4.249122e-05	-2.350979e-06	-9.065237e-07	
22.037144	1.556755e-06	2.136240e-05	-3.751378e-07	-2.179064e-06	
22.038145	4.435668e-06	1.655977e-05	2.921556e-07	-2.976891e-06	
22.039146	-2.387511e-06	2.481958e-05	5.566056e-06	-1.754446e-06	
22.040147	-1.109613e-05	4.985483e-05	4.480607e-06	-1.135450e-06	
22.041148	-8.202554e-06	5.838950e-05	-2.281791e-07	-3.718256e-06	
22.042148	1.546367e-06	-2.420295e-05	-5.607603e-07	-3.859223e-06	
22.043149	8.651184e-06	-1.575854e-04	-4.823632e-07	-1.834356e-06	
22.044150	1.242845e-05	-1.616817e-04	2.677888e-06	-2.669466e-06	
22.045151	9.826638e-06	-1.156694e-04	5.646431e-06	-2.264321e-06	
22.046152	-8.108548e-06	-5.267448e-05	3.619828e-06	4.369531e-07	
22.047153	-2.987667e-05	8.913713e-05	1.828487e-06	-5.281291e-07	
22.048154	-2.896673e-05	1.827038e-04	-4.785334e-07	-3.005626e-06	
22.049154	-8.319809e-06	9.133808e-05	-2.451337e-06	-2.835692e-06	
22.050155	6.134786e-06	-5.881723e-05	-3.592616e-06	-3.229189e-06	
22.051156	1.445601e-05	-5.887253e-05	-8.827744e-06	-1.124647e-06	
22.052157	2.482398e-05	8.792278e-06	-1.307717e-05	1.739362e-06	
22.053158	2.322659e-05	6.166057e-05	-7.866181e-06	5.621874e-07	
22.054159	6.172051e-06	1.363099e-04	-2.317694e-08	-3.318405e-07	
22.055160	-8.733201e-06	1.555699e-04	1.102072e-07	-1.901804e-07	
22.056160	-6.024284e-06	6.215197e-05	2.871190e-06	4.922718e-07	
22.057161	7.200485e-06	-3.757626e-05	9.758606e-06	-3.682504e-07	
22.058162	1.435574e-05	-4.193231e-05	7.701317e-06	-2.906924e-07	
22.059163	1.479890e-05	-3.620635e-05	5.381987e-06	3.824922e-07	
22.060164	7.167128e-06	-6.376049e-05	-8.229472e-07	-9.484514e-07	
22.061165	-6.956906e-06	-5.712746e-05	-2.020315e-05	1.837919e-06	
22.062166	-1.135899e-05	-1.998909e-05	-3.128758e-05	2.087613e-06	
22.063167	-7.530065e-06	1.199232e-05	-2.264129e-05	2.624726e-07	
22.064167	-7.130873e-06	3.952584e-05	-5.868415e-06	6.166803e-07	
22.065168	-1.613500e-06	4.186845e-05	5.159911e-06	-1.626463e-06	
22.066169	5.425584e-06	-7.232337e-06	1.215536e-05	-3.698657e-09	
22.067170	4.351179e-06	-1.661371e-05	1.849869e-05	1.430669e-06	
22.068171	5.528090e-06	2.898824e-05	1.486225e-05	1.516364e-06	
22.069172	6.262435e-06	2.721426e-05	1.041848e-05	3.646315e-06	
22.070173	2.254568e-06	-2.141724e-06	1.502397e-05	9.293593e-07	
22.071173	-2.392051e-06	-2.770075e-05	1.866740e-05	1.452024e-07	
22.072174	-1.011100e-05	-4.376323e-05	1.592124e-05	2.861734e-06	
22.073175	-1.436608e-05	-2.503432e-05	9.452828e-06	2.440405e-06	
22.074176	-9.950168e-06	-1.562488e-05	3.275505e-06	9.976354e-07	
22.075177	-2.196520e-06	-2.242666e-05	1.932100e-06	1.564766e-06	
22.076178	6.339346e-06	-5.575111e-06	3.946672e-06	2.380222e-06	
22.077179	1.085432e-05	5.139397e-06	1.381366e-06	-1.701624e-07	
22.078179	5.704112e-06	-1.418964e-05	-6.773359e-06	-3.820806e-07	
22.079180	-1.313356e-06	-4.415432e-05	-1.264133e-05	1.071885e-06	
22.080181	-1.406450e-06	-4.808844e-05	-7.844371e-06	-4.007680e-06	
22.081182	-4.817995e-06	-1.242344e-05	-3.481922e-06	-4.856839e-06	
22.082183	-1.383039e-05	2.734029e-05	-1.135913e-05	2.179343e-06	
22.083184	-8.747161e-06	4.773344e-05	-1.437305e-05	-1.145176e-06	
22.084185	-1.089306e-05	-1.031325e-05	-1.212076e-05	4.596626e-07	
22.085186	-2.668428e-05	-1.016003e-04	-1.088178e-05	1.378784e-05	
22.086186	-8.222230e-07	-4.278234e-05	1.605548e-06	1.063063e-06	
22.087187	2.652439e-05	9.088463e-05	1.076707e-05	-1.260482e-05	
22.088188	6.416308e-06	1.183732e-04	4.899066e-06	3.145476e-06	
22.089189	1.361182e-06	7.756086e-05	4.732140e-06	7.062496e-06	
22.090190	1.614672e-05	3.495492e-05	1.190558e-05	-4.839214e-06	
22.091191	1.613681e-05	3.071871e-06	8.898189e-06	-6.685603e-06	
22.092192	7.256373e-06	1.282502e-07	-2.866839e-07	-2.589113e-06	
